id,puzzle,solution,clues,difficulty
95982,6..7...2......16...1...2.8....587..128.1.......5.....9..9.....8.7..13..5.5.4.....,698754123723891654514632987936587241287149536145326879469275318872913465351468792,25,2.7
36858,..51.6.9.7..8......8....1...7...148.94...8...2..65.7..4..2..3.......7.......6..2.,325176894791843265684592173576931482943728651218654739469285317852317946137469528,25,3.7
41499,.17..4.....53.........8.......53.61..9..41..87.....4..8.....14..64.....25.......7,317924586485376291926185374248537619693241758751869423872693145164758932539412867,24,2.7
1694,4.8....5..21.6....65...81.....4..5.97..2.9..1.9..1..4.24...1.8.......63.....3....,478192356321567498659348127162483579734259861895716243243671985917825634586934712,27,3.1
47280,7.6.....9...2..1......91....924...86.3.8.........5.....25..4..398.....2.....2.9.5,716583249859246137243791658592417386437862591168359472625974813981635724374128965,25,3.6
72158,...9...3..8....5.1.3.12..4...3.....9.....4.65...26............8..5.497..9..8.2...,154978632782436591639125847463581279218794365597263184341657928825349716976812453,24,3.0
71068,1....8.....5..24.........16.28....3.9..5..16.3...29.....4.....7.....68.3....456..,172468395635192478489357216528614739947583162316729584864231957251976843793845621,25,2.6
16908,..846....6.....2.....5....7.6..9...4.3...8...8.1....9..94....86....1.3.......7..9,728463951645179238913582467562391874439758612871624593194235786287916345356847129,23,6.9
42416,.....9...5..8....6.3.....7.....549.17.1.....8.....2..7.74...5..8..26...........3.,167529843542837196938641275386754921721396458459182367674913582893265714215478639,22,3.0
51947,..35..24..4......7..89.7....21.9....6...1.3.....7..............5..42.6...34...9.1,713568249946132857258947136421893765675214398389756412162389574597421683834675921,24,2.8
88212,.1.5.8............483...7..3.......2.5.9.1..7.69.4....1...3.6....6..589..9.......,617598243925374186483126759341857962852961437769243518178439625236715894594682371,24,4.2
42344,136..........9......7.4.6.89....61..2.....54.....25...45.2........9...73......8..,136587294824691735597342618945836127283719546761425389458273961612958473379164852,23,2.6
24318,4.3..1.......8.....9.6..34..3..5..19.6....2...7...4....1.....6...8.4.........6..3,483971526256483197791625348834752619165839274972164835317598462628347951549216783,22,2.6
28448,....9.....3....284..67.8.5..4.5...3...8....6.5..1.....362.......8...3.21....7....,825394716937615284416728359641587932278439165593162478362841597784953621159276843,24,3.1
53491,.......3..4...38.5..2.....6...14...3..76..18.3..2.7...91.....6.5.....4.8...8.6...,675428931149763825832591746286149573497635182351287694918354267563972418724816359,25,3.5
52281,3....7..1....6.2....15....9...8.4...6...9.4..9..72.8....6.....57.56.....4....3.7.,369247581857961234241538769573814926628395417914726853186472395735689142492153678,25,3.0
19808,.6...8..9....3......1.7.8.28..45.............75......8....8...629....7.....1.69.3,567218349982634175341975862819452637623897514754361298135789426296543781478126953,23,2.7
7571,1......7......1.9.89..6...2..84.2..6......9......3.5..9....63...6...7...32......8,136924875472851693895763412758492136213675984649138527987246351561387249324519768,23,3.1
17611,5..43..8..2..5.6.1.......2.1.8....4..4.68....7..2.......5..8..32.95......7.3.....,561432789427859631983167524158973246342681975796245318615728493239514867874396152,25,2.6
